epoch,train_std_mse,val_std_mse,val_rmse_ms,val_rmse_kmh,val_mae_ms,val_pred_mean_ms,val_pred_std_ms,val_pred_min_ms,val_pred_max_ms,learning_rate,epoch_duration_s,cum_time_s
1,0.9897218629131496,1.224044437722875,6.106266609374116,21.98255979374682,4.883275032043457,8.49970531463623,0.7768420577049255,5.213661193847656,9.172070503234863,0.0008,3470.258713722229,3470.258713722229
2,0.9889797027863763,1.3651980691125432,6.448742008412237,23.215471230284056,5.164368152618408,8.285210609436035,6.716558709740639e-05,8.285063743591309,8.285924911499023,0.0008,863.1715471744537,4333.430260896683
3,1.0002223285147913,1.3638673196951883,6.44559823310111,23.204153639163998,5.16149377822876,8.294225692749023,9.770546057552565e-06,8.294145584106445,8.294255256652832,0.0008,542.4930911064148,4875.9233520030975
4,1.0001427276379249,1.3628451742704157,6.443182465264621,23.195456874952637,5.159287929534912,8.301149368286133,1.9073486328125e-06,8.301151275634766,8.301151275634766,0.0008,522.6223561763763,5398.545708179474
5,1.0001395785551686,1.3662149286694694,6.45114321468121,23.224115572852355,5.16655969619751,8.278383255004883,7.579124212497845e-05,8.278166770935059,8.278850555419922,0.0008,528.1207301616669,5926.666438341141
