epoch,train_std_mse,val_std_mse,val_rmse_ms,val_rmse_kmh,val_pred_mean_ms,val_pred_std_ms,val_pred_min_ms,val_pred_max_ms,learning_rate,epoch_duration_s,cum_time_s
1,0.9314961313941574,1.1767731267450248,5.987182590672426,21.553857326420736,8.237945,1.8898358,4.8978653,20.026983,0.0008,8224.978002548218,8224.978002548218
2,0.885768065894591,1.1993815359013997,6.044422468806189,21.759920887702282,8.207966,2.6216557,2.0572023,20.010538,0.0008,5443.666236400604,13668.644238948822
3,0.827285059582815,1.248054325418799,6.165848887233099,22.197055994039157,8.170202,2.7626934,0.24276257,19.948269,0.0008,6330.185038805008,19998.82927775383
4,0.8267198936275337,1.3156052599277426,6.330513401647134,22.789848245929683,7.4966135,1.7926906,2.7340274,13.35089,0.0008,6002.370256900787,26001.199534654617
5,0.823946782545348,1.349409881326776,6.411329169800116,23.080785011280415,7.8989615,0.9749923,5.5893893,13.934013,0.0008,6451.912211894989,32453.111746549606
