epoch,train_std_mse,val_std_mse,val_mse_ms2,val_rmse_ms,val_rmse_kmh,val_mae_ms,val_r2,val_pearson_r,val_pred_mean_ms,val_pred_std_ms,val_pred_min_ms,val_pred_max_ms,learning_rate,epoch_duration_s,cum_time_s
1,2.727817588284793,1.296580178565426,39.49605941772461,6.284589041275858,22.62452054859309,4.894504070281982,-0.08264695432394809,0.22266437755645746,12.3901948928833,0.15410037338733673,11.565513610839844,13.950563430786133,0.0008,493.14786767959595,493.14786767959595
2,2.716824125795072,1.3635626100545686,41.53645706176758,6.444878358958188,23.201562092249475,5.046126365661621,-0.1385773737926148,0.22353222630337907,12.793197631835938,8.363591769011691e-05,12.792810440063477,12.794236183166504,0.0008,459.618693113327,952.766560792923
3,2.7201832175680822,1.3307437582660606,40.53673553466797,6.3668465926758415,22.92064773363303,4.9710493087768555,-0.11117354919190214,0.13215637236711464,12.558602333068848,3.7216996133793145e-06,12.558578491210938,12.558629989624023,0.0008,524.4387955665588,1477.2053563594818
4,2.7088678663088657,1.3293018216215198,40.49281311035156,6.3633963502481565,22.908226860893365,4.967788219451904,-0.1099694817926764,0.05606883393075034,12.547666549682617,1.9933559087803587e-06,12.547658920288086,12.54766845703125,0.0008,719.2184190750122,2196.423775434494
5,2.718499208776037,1.375393400893314,41.89684295654297,6.472777066803936,23.301997440494173,5.073732852935791,-0.14845614627506354,-0.08970254748581925,12.871912002563477,1.8428797829983523e-06,12.871909141540527,12.87191390991211,0.0008,903.1222376823425,3099.5460131168365
