model,dv_rmse_ms,dv_rmse_kmh,dv_mae_ms,dv_mae_kmh,speed_rmse_ms,speed_rmse_kmh,speed_mae_ms,speed_mae_kmh,speed_bias_ms,speed_r2,speed_pearson_r,beats_persistence_rmse
Anchored Persistence Baseline (Delta_v = 0),2.188706159591675,7.87934217453003,1.469876766204834,5.291556358337402,2.188706159591675,7.87934217453003,1.469876766204834,5.291556358337402,-0.007456567138433456,0.8686868985378338,0.934371660857312,False
Exp_5 LSTMNoAttention (Neural Delta_v),2.206587971420232,7.943716697112836,1.5353655815124512,5.527316093444824,2.206587971420232,7.943716697112836,1.5353655815124512,5.527316093444824,-0.3437264561653137,0.8665324827207351,0.9347671221939519,False
